name_ja,name_en,lat,lng,elevation,prefecture_id,area_id,meizan_rank
氷ノ山（須賀ノ山）,,35.3538888,134.5138888,1510,28,,200
蒜山（上蒜山）,,35.3250000,133.6633333,1202,31,,200
三瓶山（男三瓶山）,,35.1405555,132.6216666,1126,32,,200
三嶺,,33.8394444,133.9877777,1894,36,,200
東赤石山,,33.8750000,133.3750000,1706,38,,200
笹ヶ峰,,33.8280555,133.2747222,1860,38,,200
英彦山（南岳）,,33.4761111,130.9261111,1199,40,,200
雲仙岳（普賢岳）,,32.7600000,130.2922222,1359,42,,200
由布岳,,33.2822222,131.3902777,1583,44,,200
大崩山,,32.7377777,131.5130555,1644,45,,200
市房山,,32.3116666,131.1011111,1721,43,,200
尾鈴山,,32.2991666,131.4266666,1405,45,,200
霧島山（高千穂峰）,,31.8863888,130.9188888,1574,45,,200
御岳（北岳）,,31.5886111,130.6547222,1117,46,,200
ニセイカウシュッペ山,,43.7800000,142.9852777,1883,1,,300
オプタテシケ山,,43.4702777,142.7516666,2013,1,,300
神威岳,,42.4283333,142.9069444,1600,1,,300
余市岳,,43.0327777,141.0197222,1488,1,,300
ニセコアンヌプリ,,42.8750000,140.6588888,1308,1,,300
狩場山,,42.6133333,139.9405555,1520,1,,300
大千軒岳,,41.5794444,140.1608333,1072,1,,300
五葉山,,39.2052777,141.7322222,1351,3,,300
烏帽子岳（乳頭山）,,39.8050000,140.8386111,1478,3,,300
太平山,,39.7969444,140.3105555,1170,5,,300
摩耶山,,38.5202777,139.7277777,1020,6,,300
祝瓶山,,38.1975000,139.8797222,1417,6,,300
泉ヶ岳,,38.4119444,140.7088888,1175,4,,300
一切経山,,37.7352777,140.2444444,1949,7,,300
大滝根山,,37.3550000,140.7016666,1192,7,,300
粟ヶ岳,,37.5552777,139.1886111,1293,15,,300
浅草岳,,37.3436111,139.2336111,1585,15,,300
金北山,,38.1038888,138.3497222,1172,15,,300
米山,,37.2894444,138.4838888,993,15,,300
八溝山,,36.9302777,140.2730555,1022,8,,300
二岐山,,37.2463888,139.9672222,1544,7,,300
男鹿岳,,37.0852777,139.8219444,1777,7,,300
荒海山（太郎岳）,,37.0361111,139.6436111,1581,7,,300
七ヶ岳,,37.1241666,139.6575000,1636,7,,300
景鶴山,,36.9569444,139.2105555,2004,10,,300
釈迦ヶ岳（高原山）,,36.9000000,139.7766666,1795,9,,300
太郎山,,36.8177777,139.4827777,2368,9,,300
袈裟丸山,,36.6494444,139.3272222,1961,9,,300
朝日岳,,36.8805555,138.9725000,1945,10,,300
笠ヶ岳,,36.6766666,138.4813888,2076,20,,300
横手山,,36.6688888,138.5258333,2307,10,,300
